LEGONo,Color,Sample,R,G,B,c_Palette2016,c_Transparent,c_Glow,c_Metallic,t_BW,t_Classic,t_Friends,w_weight,w_Classic
107,Bright bluish green,,0,143,155,FALSE,FALSE,FALSE,FALSE,,,,1,
108,Earth yellow,,104,92,67,FALSE,FALSE,FALSE,FALSE,,,,1,
110,Bright bluish violet,,67,84,147,FALSE,FALSE,FALSE,FALSE,,,,1,
112,Medium bluish violet,,104,116,172,FALSE,FALSE,FALSE,FALSE,,,,1,
115,Med. yellowish green,,199,210,60,FALSE,FALSE,FALSE,FALSE,,,,1,
116,Med. bluish green,,85,165,175,FALSE,FALSE,FALSE,FALSE,,,,1,
118,Light bluish green,,183,215,213,FALSE,FALSE,FALSE,FALSE,,,,1,
120,Lig. yellowish green,,217,228,167,FALSE,FALSE,FALSE,FALSE,,,,1,
121,Med. yellowish orange,,231,172,88,FALSE,FALSE,FALSE,FALSE,,,,1,
123,Br. reddish orange,,211,111,76,FALSE,FALSE,FALSE,FALSE,,,,1,
125,Light orange,,234,184,145,FALSE,FALSE,FALSE,FALSE,,,,1,
127,Gold,,220,188,129,FALSE,FALSE,FALSE,FALSE,,,,1,
128,Dark nougat,,174,122,89,FALSE,FALSE,FALSE,FALSE,,,,1,
131,Silver,,156,163,168,FALSE,FALSE,FALSE,FALSE,,,,1,
133,Neon orange,,213,115,61,FALSE,FALSE,FALSE,FALSE,,,,1,
134,Neon green,,216,221,86,FALSE,FALSE,FALSE,FALSE,,,,1,
136,Sand violet,,135,124,144,FALSE,FALSE,FALSE,FALSE,,,,1,
137,Medium orange,,224,152,100,FALSE,FALSE,FALSE,FALSE,,,,1,
145,Sand blue metallic,,121,136,161,FALSE,FALSE,FALSE,FALSE,,,,1,
146,Sand violet metallic,,149,142,163,FALSE,FALSE,FALSE,FALSE,,,,1,
147,Sand yellow metallic,,147,135,103,FALSE,FALSE,FALSE,FALSE,,,,1,
148,Dark grey metallic,,87,88,87,FALSE,FALSE,FALSE,FALSE,,,,1,
149,Black metallic,,22,29,50,FALSE,FALSE,FALSE,FALSE,,,,1,
150,Light grey metallic,,171,173,172,FALSE,FALSE,FALSE,FALSE,,,,1,
153,Sand red,,149,121,118,FALSE,FALSE,FALSE,FALSE,,,,1,
157,Tr. Flu. Yellow,,255,246,123,FALSE,FALSE,FALSE,FALSE,,,,1,
158,Tr. Flu. Red,,225,164,194,FALSE,FALSE,FALSE,FALSE,,,,1,
168,Gun metallic,,117,108,98,FALSE,FALSE,FALSE,FALSE,,,,1,
176,Red flip/flop,,151,105,91,FALSE,FALSE,FALSE,FALSE,,,,1,
178,Yellow flip/flop,,180,132,85,FALSE,FALSE,FALSE,FALSE,,,,1,
179,Silver flip/flop,,137,135,136,FALSE,FALSE,FALSE,FALSE,,,,1,
180,Curry,,215,169,75,FALSE,FALSE,FALSE,FALSE,,,,1,
190,Fire Yellow,,249,214,46,FALSE,FALSE,FALSE,FALSE,,,,1,
193,Flame reddish orange,,207,96,36,FALSE,FALSE,FALSE,FALSE,,,,1,
195,Royal blue,,70,103,164,FALSE,FALSE,FALSE,FALSE,,,,1,
196,Dark Royal blue,,35,71,139,FALSE,FALSE,FALSE,FALSE,,,,1,
198,Bright reddish lilac,,142,66,133,FALSE,FALSE,FALSE,FALSE,,,,1,
200,Lemon metalic,,130,138,93,FALSE,FALSE,FALSE,FALSE,,,,1,
208,Light stone grey,,229,228,222,FALSE,FALSE,FALSE,FALSE,,,,1,
209,Dark Curry,,176,142,68,FALSE,FALSE,FALSE,FALSE,,,,1,
210,Faded green,,112,149,120,FALSE,FALSE,FALSE,FALSE,,,,1,
211,Turquoise,,121,181,181,FALSE,FALSE,FALSE,FALSE,,,,1,
213,Medium Royal blue,,108,129,183,FALSE,FALSE,FALSE,FALSE,,,,1,
216,Rust,,143,76,42,FALSE,FALSE,FALSE,FALSE,,,,1,
217,Brown,,124,92,69,FALSE,FALSE,FALSE,FALSE,,,,1,
218,Reddish lilac,,150,112,159,FALSE,FALSE,FALSE,FALSE,,,,1,
219,Lilac,,107,98,155,FALSE,FALSE,FALSE,FALSE,,,,1,
220,Light lilac,,167,169,206,FALSE,FALSE,FALSE,FALSE,,,,1,
223,Light pink,,220,144,149,FALSE,FALSE,FALSE,FALSE,,,,1,
224,Light brick yellow,,240,213,160,FALSE,FALSE,FALSE,FALSE,,,,1,
225,Warm yellowish orange,,235,184,127,FALSE,FALSE,FALSE,FALSE,,,,1,
232,Dove blue,,125,187,221,FALSE,FALSE,FALSE,FALSE,,,,1,
